date,open,high,low,close,volume,openinterest
2018-01-02,4.086,4.138,4.084,4.136,168876561.000,-1
2018-01-03,4.136,4.186,4.132,4.158,126793328.000,-1
2018-01-04,4.158,4.180,4.150,4.171,92220709.000,-1
2018-01-05,4.179,4.197,4.165,4.187,127131673.000,-1
2018-01-08,4.186,4.214,4.173,4.204,105696705.000,-1
2018-01-09,4.204,4.241,4.197,4.238,107946072.000,-1
2018-01-10,4.234,4.260,4.221,4.256,144965698.000,-1
2018-01-11,4.249,4.256,4.232,4.250,98475059.000,-1
2018-01-12,4.250,4.277,4.245,4.273,103574919.000,-1
2018-01-15,4.273,4.310,4.261,4.265,157364726.000,-1
2018-01-16,4.265,4.311,4.260,4.308,123183954.000,-1
2018-01-17,4.309,4.327,4.281,4.295,158939722.000,-1
2018-01-18,4.301,4.336,4.298,4.323,125086310.000,-1
2018-01-19,4.325,4.365,4.322,4.335,218506460.000,-1
2018-01-22,4.322,4.393,4.322,4.390,139873365.000,-1
2018-01-23,4.353,4.389,4.350,4.388,158466266.000,-1
2018-01-24,4.388,4.400,4.356,4.391,161345725.000,-1
2018-01-25,4.388,4.390,4.341,4.363,154871983.000,-1
2018-01-26,4.350,4.414,4.345,4.385,98413154.000,-1
2018-01-29,4.395,4.400,4.291,4.302,214053187.000,-1
2018-01-30,4.292,4.310,4.255,4.258,161687140.000,-1
2018-01-31,4.246,4.286,4.240,4.271,166736854.000,-1
2018-02-01,4.270,4.288,4.216,4.241,439073590.000,-1
2018-02-02,4.210,4.273,4.188,4.267,212796141.000,-1
2018-02-05,4.229,4.268,4.210,4.263,230839513.000,-1
2018-02-06,4.200,4.213,4.136,4.143,313173133.000,-1
2018-02-07,4.200,4.209,4.039,4.045,339517812.000,-1
2018-02-08,4.040,4.072,3.981,4.012,312348562.000,-1
2018-02-09,3.905,3.921,3.764,3.827,416837179.000,-1
2018-02-12,3.836,3.905,3.824,3.882,193558868.000,-1
2018-02-13,3.917,3.981,3.917,3.929,162462468.000,-1
2018-02-14,3.941,3.971,3.927,3.964,93035624.000,-1
2018-02-22,4.016,4.053,4.002,4.046,189064057.000,-1
2018-02-23,4.054,4.078,4.033,4.068,157657247.000,-1
2018-02-26,4.098,4.133,4.050,4.120,202772259.000,-1
2018-02-27,4.128,4.129,4.055,4.061,211823291.000,-1
2018-02-28,4.028,4.055,3.995,4.020,239224566.000,-1
2018-03-01,4.000,4.067,3.993,4.049,118636949.000,-1
2018-03-02,4.020,4.043,4.008,4.022,90614682.000,-1
2018-03-05,4.025,4.049,3.990,4.013,96012470.000,-1
2018-03-06,4.042,4.074,3.997,4.073,133593823.000,-1
2018-03-07,4.070,4.093,4.031,4.040,139728541.000,-1
2018-03-08,4.042,4.083,4.031,4.081,93207522.000,-1
2018-03-09,4.088,4.117,4.074,4.111,111687110.000,-1
2018-03-12,4.131,4.148,4.117,4.123,294989163.000,-1
2018-03-13,4.120,4.127,4.077,4.079,143512766.000,-1
2018-03-14,4.070,4.085,4.061,4.065,120903364.000,-1
2018-03-15,4.060,4.098,4.052,4.095,100079431.000,-1
2018-03-16,4.090,4.105,4.049,4.050,88323264.000,-1
2018-03-19,4.049,4.075,4.029,4.072,80902013.000,-1
2018-03-20,4.059,4.082,4.034,4.070,75493600.000,-1
2018-03-21,4.086,4.114,4.040,4.049,129100272.000,-1
2018-03-22,4.056,4.069,4.003,4.013,98444017.000,-1
2018-03-23,3.900,3.923,3.825,3.894,278976065.000,-1
2018-03-26,3.863,3.886,3.827,3.876,233957550.000,-1
2018-03-27,3.921,3.930,3.885,3.911,143793379.000,-1
2018-03-28,3.874,3.904,3.829,3.832,135099139.000,-1
2018-03-29,3.847,3.919,3.793,3.902,193453972.000,-1
2018-03-30,3.903,3.915,3.878,3.896,92303130.000,-1
2018-04-02,3.897,3.936,3.880,3.883,177505995.000,-1
2018-04-03,3.859,3.878,3.837,3.858,140985282.000,-1
2018-04-04,3.867,3.896,3.843,3.848,102878409.000,-1
2018-04-09,3.852,3.875,3.828,3.853,119199109.000,-1
2018-04-10,3.857,3.929,3.853,3.928,159073409.000,-1
2018-04-11,3.938,3.957,3.926,3.933,136495500.000,-1
2018-04-12,3.932,3.938,3.891,3.892,96730312.000,-1
2018-04-13,3.915,3.927,3.858,3.865,121246776.000,-1
2018-04-16,3.858,3.870,3.791,3.804,114159639.000,-1
2018-04-17,3.815,3.820,3.745,3.748,138299800.000,-1
2018-04-18,3.781,3.795,3.710,3.756,212567660.000,-1
2018-04-19,3.765,3.819,3.764,3.809,171495153.000,-1
2018-04-20,3.797,3.810,3.743,3.750,163178579.000,-1
2018-04-23,3.743,3.789,3.731,3.766,106409975.000,-1
2018-04-24,3.774,3.855,3.774,3.845,179486723.000,-1
2018-04-25,3.829,3.837,3.813,3.822,107213904.000,-1
2018-04-26,3.827,3.834,3.740,3.746,127956877.000,-1
2018-04-27,3.766,3.769,3.712,3.754,117876195.000,-1
2018-05-02,3.770,3.789,3.741,3.766,113098000.000,-1
2018-05-03,3.756,3.802,3.731,3.788,150087441.000,-1
2018-05-04,3.786,3.799,3.764,3.770,111229369.000,-1
2018-05-07,3.776,3.835,3.770,3.831,151975283.000,-1
2018-05-08,3.835,3.891,3.830,3.881,188264393.000,-1
2018-05-09,3.880,3.881,3.853,3.870,87267325.000,-1
2018-05-10,3.881,3.898,3.862,3.896,99489112.000,-1
2018-05-11,3.903,3.910,3.869,3.873,85096764.000,-1
2018-05-14,3.881,3.916,3.881,3.907,180928713.000,-1
2018-05-15,3.915,3.922,3.884,3.922,144488809.000,-1
2018-05-16,3.908,3.917,3.882,3.890,87803478.000,-1
2018-05-17,3.892,3.897,3.856,3.857,83591034.000,-1
2018-05-18,3.862,3.904,3.844,3.899,191679213.000,-1
2018-05-21,3.925,3.942,3.906,3.918,158257390.000,-1
2018-05-22,3.918,3.918,3.878,3.902,84688776.000,-1
2018-05-23,3.892,3.893,3.850,3.851,110004473.000,-1
2018-05-24,3.850,3.860,3.816,3.820,121639995.000,-1
2018-05-25,3.819,3.839,3.801,3.811,103168428.000,-1
2018-05-28,3.819,3.850,3.801,3.835,91613409.000,-1
2018-05-29,3.830,3.840,3.797,3.799,126385560.000,-1
2018-05-30,3.762,3.767,3.726,3.727,144032281.000,-1
2018-05-31,3.748,3.806,3.742,3.803,170193623.000,-1
2018-06-01,3.786,3.799,3.760,3.777,121025470.000,-1
2018-06-04,3.797,3.818,3.784,3.814,126079681.000,-1
2018-06-05,3.810,3.850,3.803,3.846,104885997.000,-1
2018-06-06,3.841,3.849,3.831,3.839,83502820.000,-1
2018-06-07,3.853,3.869,3.831,3.838,109814321.000,-1
2018-06-08,3.830,3.830,3.768,3.787,135333285.000,-1
2018-06-11,3.771,3.805,3.770,3.797,76834934.000,-1
2018-06-12,3.798,3.848,3.779,3.835,122168366.000,-1
2018-06-13,3.822,3.827,3.790,3.796,114881661.000,-1
2018-06-14,3.785,3.821,3.776,3.786,137252556.000,-1
2018-06-15,3.780,3.802,3.760,3.780,130340300.000,-1
2018-06-19,3.755,3.755,3.611,3.650,351576108.000,-1
2018-06-20,3.637,3.667,3.605,3.650,249030285.000,-1
2018-06-21,3.652,3.696,3.614,3.620,333719959.000,-1
2018-06-22,3.610,3.637,3.572,3.636,154260956.000,-1
2018-06-25,3.648,3.654,3.584,3.585,115424451.000,-1
2018-06-26,3.551,3.571,3.507,3.550,202340188.000,-1
2018-06-27,3.553,3.560,3.457,3.466,200894524.000,-1
2018-06-28,3.450,3.499,3.440,3.446,162531044.000,-1
2018-06-29,3.449,3.543,3.449,3.537,170604955.000,-1
2018-07-02,3.531,3.535,3.405,3.443,212198117.000,-1
2018-07-03,3.442,3.453,3.349,3.430,361552434.000,-1
2018-07-04,3.423,3.440,3.389,3.394,126890878.000,-1
2018-07-05,3.395,3.427,3.360,3.366,172621249.000,-1
